ID,text,parallelism,one/ones,antecedent type,one-start character offset,one-end character offset,A,antecedent A-start character offset,antecedent A-end character offset,B,antecedent B-start character offset,antecedent B-end character offset,A-antecedent,B-antecedent,A-antecedent.1,B-antecedent.1,one-licensor category,URL,target,expected_answer_2afc,gpt_answer_2afc,correct_gpt_2afc,Gemma_LoRA_answer_2afc,correct_gemma_2afc,llama_answer_2afc,correct_llama_2afc,expected_answer_openended,gpt_answer_openended,correct_gpt_openended,recheck_gpt_openended,Gemma_LoRA_answer_openended,correct_gemma_openended,recheck_gemma_openended,llama_answer_openended,correct_llama_openended,recheck_llama_openended,is_parallel,TA,CF,TA_plural,CF_plural,clean_text,len_text,n_ones,one_start,one_end,n_TA,TA_start,TA_end,n_CF,CF_start,CF_end,dist_TA_ao,dist_CF_ao,is_TA_closer
1.0,Focusing on E* Applications leads to new requirements as well as to new technologies or extensions of existing ones.,Modifier Coordination,ones,linguistic,,,requirements,,,technologies,,,0.0,1.0,non-local,local,adj,http://www2007.org/cfp-EA.php,ones,B,B,1.0,B,1.0,A,0.0,TECHNOLOGIES,TECHNOLOGIES,1.0,True,technologies,1.0,True,existing technologies,0.0,True,parallel,technologies,requirements,plural,plural,Focusing on E* Applications leads to new requirements as well as to new technologies or extensions of existing ones.,116,1,111,114,1,71,83,1,40,52,40,71,1
2.0,"As new components are introduced into the system, an upgrade of existing services, even the introduction of new ones not previously considered, may be needed as well.",Modifier Coordination,ones,linguistic,,,services,,,components,,,1.0,0.0,local,non-local,adj,http://www10.org/cdrom/papers/106/,ones,A,A,1.0,A,1.0,A,1.0,SERVICES,SERVICES,1.0,True,services,1.0,True,new ones,0.0,False,parallel,services,components,plural,plural,"As new components are introduced into the system, an upgrade of existing services, even the introduction of new ones not previously considered, may be needed as well.",166,1,112,115,1,72,80,1,6,16,40,106,1
3.0,"Using two benchmarks representative of dynamic web sites, measurements of our prototype show that it can increase end-to-end throughput by as much as twofold for non-data intensive applications and by as much as tenfold for data intensive ones.",Modifier Coordination,ones,linguistic,,,applications,,,measurements,,,1.0,0.0,local,non-local,adj,http://www2007.org/paper120.php,ones,A,A,1.0,A,1.0,A,1.0,APPLICATIONS,DATA INTENSIVE APPLICATIONS,0.0,True,data intensive ones,0.0,False,data intensive applications,0.0,True,parallel,applications,measurements,plural,plural,"Using two benchmarks representative of dynamic web sites, measurements of our prototype show that it can increase end-to-end throughput by as much as twofold for non-data intensive applications and by as much as tenfold for data intensive ones.",244,1,239,242,1,180,192,1,57,69,59,182,1
4.0,This shift follows the noted global decline of social movements based around redistribution of material resources and the rise of new ones demanding standing premised on cultural difference.,non-parallel,ones,linguistic,,,material resources,,,social movements,,,0.0,1.0,local,non-local,adj,http://hnn.us/article/155722,ones,B,B,1.0,B,1.0,A,0.0,SOCIAL MOVEMENTS,SOCIAL MOVEMENTS,1.0,True,movements,0.0,True,new ones,0.0,False,non-parallel,social movements,material resources,plural,plural,This shift follows the noted global decline of social movements based around redistribution of material resources and the rise of new ones demanding standing premised on cultural difference.,190,1,134,137,1,46,62,1,94,112,88,40,0
5.0,"Tourgoers will be in 'conversation' with Black Bottom residents through oral histories, images, video and everyday neighborhood narratives from the ones who knew it best – the neighbors.",non-parallel,ones,linguistic,,,residents,,,narratives,,,1.0,0.0,non-local,local,det,http://hnn.us/article/181279,ones,A,A,1.0,A,1.0,A,1.0,RESIDENTS,NEIGHBORS,0.0,False,neighbors,0.0,False,neighbors,0.0,False,non-parallel,residents,narratives,plural,plural,"Tourgoers will be in 'conversation' with Black Bottom residents through oral histories, images, video and everyday neighborhood narratives from the ones who knew it best – the neighbors.",186,1,148,151,1,53,62,1,127,137,95,21,0
6.0,"Referring to a reconstruction of Yosemite Park's Tioga road, for example, Ansel Adams complained that, where the old road had ""tiptoed across the terrain,"" the new one ""blasts and gouges the landscape.""",Modifier Coordination,one,linguistic,,,reconstruction,,,road,,,0.0,1.0,non-local,local,adj,http://www2007.org/htmlpapers/paper469/,one,B,B,1.0,B,1.0,A,0.0,ROAD,ROAD,1.0,True,new road,0.0,True,Tioga road,0.0,True,parallel,road,reconstruction,singular,singular,"Referring to a reconstruction of Yosemite Park's Tioga road, for example, Ansel Adams complained that, where the old road had ""tiptoed across the terrain,"" the new one ""blasts and gouges the landscape.""",202,1,164,166,2,116,120,1,14,28,48,150,1
7.0,"For the quantitative analysis, the Top-30 matches from each result list were compared using Kendall Tau, whereas for the qualitative one, we employed Mean Average Precision for the Top-10 results.",Modifier Coordination,one,linguistic,,,analysis,,,result,,,1.0,0.0,non-local,local,adj,http://www2007.org/htmlposters/poster973/,one,A,A,1.0,A,1.0,A,1.0,ANALYSIS,ANALYSIS,1.0,True,analysis,1.0,True,qualitative analysis,0.0,True,parallel,analysis,result,singular,singular,"For the quantitative analysis, the Top-30 matches from each result list were compared using Kendall Tau, whereas for the qualitative one, we employed Mean Average Precision for the Top-10 results.",196,1,133,135,1,20,28,1,59,65,113,74,0
8.0,"Though DTC sightholders list will be official by March, around five to 10 Indian companies have been excluded with a couple of new ones added in the 2008 list.",non-parallel,ones,linguistic,,,DTC sightholders,,,Indian companies,,,0.0,1.0,non-local,local,adj,http://www.sme.in/CurrentNews.aspx?NewsID=1900,ones,B,B,1.0,B,1.0,A,0.0,INDIAN COMPANIES,COMPANIES,0.0,True,companies,0.0,True,new ones,0.0,False,non-parallel,Indian companies,DTC sightholders,plural,plural,"Though DTC sightholders list will be official by March, around five to 10 Indian companies have been excluded with a couple of new ones added in the 2008 list.",159,1,131,134,1,73,89,1,6,22,58,125,1
9.0,"Hi everyone today i bought a new hdd for my laptop and when i installed it my laptop won't turn on, tried putting in the old one but same problem.",Modifier Coordination,one,linguistic,,,laptop,,,hdd,,,0.0,1.0,local,non-local,adj,https://ccm.net/forum/hardware-2?page=86,one,B,B,1.0,B,1.0,A,0.0,HDD,HDD,1.0,True,hdd,1.0,True,Laptop,0.0,False,parallel,hdd,laptop,singular,singular,"Hi everyone today i bought a new hdd for my laptop and when i installed it my laptop won't turn on, tried putting in the old one but same problem.",146,1,125,127,1,32,35,2,77,83,93,48,0
10.0,An effective heuristic to adopt is to prefetch additional pages only when the cache miss has been caused by a request for a page different from the first one.,non-parallel,one,linguistic,,,request,,,page,,,0.0,1.0,non-local,local,det,http://www2003.org/cdrom/papers/poster/p156/p156-silvestri.html,one,B,B,1.0,B,1.0,A,0.0,PAGE,PAGE,1.0,True,page,1.0,True,first one,0.0,False,non-parallel,page,request,singular,singular,An effective heuristic to adopt is to prefetch additional pages only when the cache miss has been caused by a request for a page different from the first one.,158,1,154,156,2,123,127,1,109,116,31,45,1
