text_id,text,target,expected_answer,llama_answer,correct
wsc-1,The city councilmen refused the demonstrators a permit because [target]  feared violence.,[target],A,A,True
wsc-2,The city councilmen refused the demonstrators a permit because [target]  advocated violence.,[target],A,A,True
wsc-3,The trophy doesn't fit into the brown suitcase because  [target]  is too large.,[target],A,A,True
wsc-4,The trophy doesn't fit into the brown suitcase because  [target]  is too small.,[target],A,B,False
wsc-5,Joan made sure to thank Susan for all the help  [target]  had recieved.,[target],A,B,False
wsc-6,Joan made sure to thank Susan for all the help  [target]  had given.,[target],A,A,True
wsc-7,"Paul tried to call George on the phone, but  [target]  wasn't successful.",[target],A,B,False
wsc-8,"Paul tried to call George on the phone, but  [target]  wasn't available.",[target],A,A,True
wsc-9,"The lawyer asked the witness a question, but  [target]  was reluctant to repeat it.",[target],A,B,False
wsc-10,"The lawyer asked the witness a question, but  [target]  was reluctant to answer it.",[target],A,A,True
wsc-11,The delivery truck zoomed by the school bus because  [target]  was going so fast.,[target],A,A,True
wsc-12,The delivery truck zoomed by the school bus because  [target]  was going so slow.,[target],A,A,True
wsc-13,Frank felt vindicated when his longtime rival Bill revealed that  [target]  was the winner of the competition.,[target],A,B,False
wsc-14,Frank felt crushed when his longtime rival Bill revealed that  [target]  was the winner of the competition.,[target],A,B,False
wsc-15,The man couldn't lift his son because  [target]  was so weak.,[target],A,A,True
wsc-16,The man couldn't lift his son because  [target]  was so heavy.,[target],A,B,False
wsc-17,The large ball crashed right through the table because  [target]  was made of steel.,[target],A,A,True
wsc-18,The large ball crashed right through the table because  [target]  was made of styrofoam.,[target],A,A,True
wsc-19,John couldn't see the stage with Billy in front of him because  [target]  is so short.,[target],A,B,False
wsc-20,John couldn't see the stage with Billy in front of him because  [target]  is so tall.,[target],A,A,True
wsc-21,Tom threw his schoolbag down to Ray after  [target]  reached the top of the stairs.,[target],A,A,True
wsc-22,Tom threw his schoolbag down to Ray after  [target]  reached the bottom of the stairs.,[target],A,B,False
wsc-23,"Although they ran at about the same speed, Sue beat Sally because  [target]  had such a good start.",[target],A,B,False
wsc-24,"Although they ran at about the same speed, Sue beat Sally because  [target]  had such a bad start.",[target],A,A,True
wsc-25,The sculpture rolled off the shelf because  [target]  wasn't anchored.,[target],A,A,True
wsc-26,The sculpture rolled off the shelf because  [target]  wasn't level.,[target],A,B,False
wsc-27,Sam's drawing was hung just above Tina's and  [target]  did look much better with another one below it.,[target],A,A,True
wsc-28,Sam's drawing was hung just above Tina's and  [target]  did look much better with another one above it.,[target],A,A,True
wsc-29,Anna did a lot better than her good friend Lucy on the test because  [target]  had studied so hard.,[target],A,A,True
wsc-30,Anna did a lot worse than her good friend Lucy on the test because  [target]  had studied so hard.,[target],A,B,False
wsc-31,The firemen arrived after the police because  [target]  were coming from so far away.,[target],A,B,False
wsc-32,The firemen arrived before the police because  [target]  were coming from so far away.,[target],A,A,True
wsc-33,Frank was upset with Tom because the toaster  [target]  had bought from him didn't work.,[target],A,B,False
wsc-34,Frank was upset with Tom because the toaster  [target]  had sold him didn't work.,[target],A,A,True
wsc-35,Jim yelled at Kevin because  [target]  was so upset.,[target],A,B,False
wsc-36,Jim comforted Kevin because  [target]  was so upset.,[target],A,A,True
wsc-37,"The sack of potatoes had been placed above the bag of flour, so  [target]  had to be moved first.",[target],A,A,True
wsc-38,"The sack of potatoes had been placed below the bag of flour, so  [target]  had to be moved first.",[target],A,A,True
wsc-39,Pete envies Martin although  [target]  is very successful.,[target],A,B,False
wsc-40,Pete envies Martin because  [target]  is very successful.,[target],A,A,True
wsc-41,"The older students were bullying the younger ones, so we punished  [target] .",[target],A,A,True
wsc-42,"The older students were bullying the younger ones, so we rescued  [target] .",[target],A,A,True
wsc-43,I poured water from the bottle into the cup until  [target]  was empty.,[target],A,B,False
wsc-44,I poured water from the bottle into the cup until  [target]  was full.,[target],A,A,True
wsc-45,Susan knows all about Ann's personal problems because  [target]  is nosy.,[target],A,B,False
wsc-46,Susan knows all about Ann's personal problems because  [target]  is indiscreet.,[target],A,A,True
wsc-47,Sid explained his theory to Mark but  [target]  couldn't convince him.,[target],A,A,True
wsc-48,Sid explained his theory to Mark but  [target]  couldn't understand him.,[target],A,B,False
wsc-49,"Susan knew that Ann's son had been in a car accident, so  [target]  told her about it.",[target],A,B,False
wsc-50,"Susan knew that Ann's son had been in a car accident, because  [target]  told her about it.",[target],A,A,True
wsc-51,"Joe's uncle can still beat him at tennis, even though  [target]  is 30 years younger.",[target],A,B,False
wsc-52,"Joe's uncle can still beat him at tennis, even though  [target]  is 30 years older.",[target],A,A,True
wsc-53,The painting in Mark's living room shows an oak tree.  [target]  is to the right of the bookcase.,[target],A,A,True
wsc-54,The painting in Mark's living room shows an oak tree.  [target]  is to the right of a house.,[target],A,A,True
wsc-55,There is a gap in the wall. You can see the garden through  [target] .,[target],A,B,False
wsc-56,There is a gap in the wall. You can see the garden behind  [target] .,[target],A,B,False
wsc-57,The drain is clogged with hair.  [target]  has to be cleaned.,[target],A,A,True
wsc-58,The drain is clogged with hair.  [target]  has to be removed.,[target],A,A,True
wsc-59,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,  [target]  was short, so it worked out.",[target],A,A,True
wsc-60,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,  [target]  was delayed, so it worked out.",[target],A,B,False
wsc-61,"There is a pillar between me and the stage, and I can't see around  [target] .",[target],A,A,True
wsc-62,"There is a pillar between me and the stage, and I can't see  [target] .",[target],A,B,False
wsc-63,"They broadcast an announcement, but a subway came into the station and I couldn't hear  [target] .",[target],A,A,True
wsc-64,"They broadcast an announcement, but a subway came into the station and I couldn't hear over  [target] .",[target],A,A,True
wsc-65,"In the middle of the outdoor concert, the rain started falling, but  [target]  continued until 10.",[target],A,A,True
wsc-66,"In the middle of the outdoor concert, the rain started falling, and  [target]  continued until 10.",[target],A,A,True
wsc-67,"I used an old rag to clean the knife, and then I put  [target]  in the trash.",[target],A,B,False
wsc-68,"I used an old rag to clean the knife, and then I put  [target]  in the drawer.",[target],A,A,True
wsc-69,"Ann asked Mary what time the library closes, because  [target]  had forgotten.",[target],A,B,False
wsc-70,"Ann asked Mary what time the library closes, but  [target]  had forgotten.",[target],A,B,False
wsc-71,I took the water bottle out of the backpack so that  [target]  would be handy.,[target],A,A,True
wsc-72,I took the water bottle out of the backpack so that  [target]  would be lighter.,[target],A,B,False
wsc-73,I couldn't put the pot on the shelf because  [target]  was too tall.,[target],A,A,True
wsc-74,I couldn't put the pot on the shelf because  [target]  was too high.,[target],A,B,False
wsc-75,I'm sure that my map will show this building;  [target]  is very good.,[target],A,B,False
wsc-76,I'm sure that my map will show this building;  [target]  is very famous.,[target],A,A,True
wsc-77,Bob paid for Charlie's college education.  [target]  is very generous.,[target],A,B,False
wsc-78,Bob paid for Charlie's college education.  [target]  is very grateful.,[target],A,A,True
wsc-79,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.  [target]  is very hurt.",[target],A,B,False
wsc-80,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.  [target]  is very ungrateful.",[target],A,A,True
wsc-81,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,  [target]  would have won.",[target],A,B,False
wsc-82,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,  [target]  would have lost.",[target],A,B,False
wsc-83,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time,  [target]  would be gone by this time.",[target],A,B,False
wsc-84,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time,  [target]  would be here by this time.",[target],A,A,True
wsc-85,"If the con artist has succeeded in fooling Sam,  [target]  would have gotten a lot of money.",[target],A,A,True
wsc-86,"If the con artist has succeeded in fooling Sam,  [target]  would have lost a lot of money.",[target],A,B,False
wsc-87,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because  [target]  was hot.",[target],A,A,True
wsc-88,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because  [target]  was cooler.",[target],A,B,False
wsc-89,"The cat was lying by the mouse hole waiting for the mouse, but  [target]  was too impatient.",[target],A,A,True
wsc-90,"The cat was lying by the mouse hole waiting for the mouse, but  [target]  was too cautious.",[target],A,B,False
wsc-91,Anne gave birth to a daughter last month.  [target]  is a very charming woman.,[target],A,A,True
wsc-92,Anne gave birth to a daughter last month.  [target]  is a very charming baby.,[target],A,A,True
wsc-93,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why  [target]  was behaving so strangely.",[target],A,B,False
wsc-94,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why  [target]  was behaving so strangely.",[target],A,A,True
wsc-95,"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why  [target]  was, but he looked very unhappy.",[target],A,B,False
wsc-96,"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who  [target]  was, but he looked very unhappy.",[target],A,A,True
wsc-97,The fish ate the worm.  [target]  was hungry.,[target],A,A,True
wsc-98,The fish ate the worm.  [target]  was tasty.,[target],A,A,True
wsc-99,"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get  [target]  in.",[target],A,A,True
wsc-100,"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get  [target]  out.",[target],A,A,True
wsc-101,"The dog chased the cat, which ran up a tree.  [target]  waited at the bottom.",[target],A,A,True
wsc-102,"The dog chased the cat, which ran up a tree.  [target]  waited at the top.",[target],A,B,False
wsc-103,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get  [target]  removed.",[target],A,A,True
wsc-104,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get  [target]  repaired.",[target],A,A,True
wsc-105,The customer walked into the bank and stabbed one of the tellers.  [target]  was immediately taken to the police station.,[target],A,B,False
wsc-106,The customer walked into the bank and stabbed one of the tellers.  [target]  was immediately taken to the hospital.,[target],A,A,True
wsc-107,John was doing research in the library when he heard a man humming and whistling.  [target]  was very annoyed.,[target],A,B,False
wsc-108,John was doing research in the library when he heard a man humming and whistling.  [target]  was very annoying.,[target],A,A,True
wsc-109,John was jogging through the park when he saw a man juggling watermelons.  [target]  was very impressed.,[target],A,B,False
wsc-110,John was jogging through the park when he saw a man juggling watermelons.  [target]  was very impressive.,[target],A,A,True
wsc-111,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.  [target]  was very ill.,[target],A,A,True
wsc-112,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.  [target]  was very concerned.,[target],A,B,False
wsc-113,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because  [target]  are fifteen.",[target],A,A,True
wsc-114,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because  [target]  are snobs.",[target],A,A,True
wsc-115,"Mark told Pete many lies about himself, which Pete included in his book.  [target]  should have been more  truthful.",[target],A,A,True
wsc-116,"Mark told Pete many lies about himself, which Pete included in his book.  [target]  should have been more  skeptical.",[target],A,B,False
wsc-117,Joe has sold his house and bought a new one a few miles away. He will be moving out of  [target]  on Thursday.,[target],A,A,True
wsc-118,Joe has sold his house and bought a new one a few miles away. He will be moving into  [target]  on Thursday.,[target],A,A,True
wsc-119,Many people start to read Paul's books and can't put them down.  [target]  are gripped because Paul writes so well.,[target],A,B,False
wsc-120,Many people start to read Paul's books and can't put them down.  [target]  are popular because Paul writes so well.,[target],A,A,True
wsc-121,Mary took out her flute and played one of her favorite pieces. She has had  [target]  since she was a child.,[target],A,A,True
wsc-122,Mary took out her flute and played one of her favorite pieces. She has loved  [target]  since she was a child.,[target],A,A,True
wsc-123,"Sam pulled up a chair to the piano, but  [target]  was broken, so he had to stand instead.",[target],A,B,False
wsc-124,"Sam pulled up a chair to the piano, but  [target]  was broken, so he had to sing instead.",[target],A,A,True
wsc-125,"Since it was raining, I carried the newspaper in my backpack to keep  [target]  dry.",[target],A,A,True
wsc-126,"Since it was raining, I carried the newspaper over my backpack to keep  [target]  dry.",[target],A,B,False
wsc-127,Sara borrowed the book from the library because she needs it for an article she is working on. She reads  [target]  when she gets home from work.,[target],A,A,True
wsc-128,Sara borrowed the book from the library because she needs it for an article she is working on. She writes  [target]  when she gets home from work.,[target],A,B,False
