text_id,text,target,expected_answer,llama_answer,correct
1,When I asked them for performance data in percentage of passenger miles traveled and cost including time per trip they didn't have any! ,any,data,Performance data,False
2,"Search engines do not place much ranking weight (or any!) on meta descriptions themselves, but they can entice people click on the link and go to your website, which in turn increases your click-through rate and contributes to better rankings.",any,ranking weight,Meta descriptions,False
3,"There must be loads of anecdotes from those days, but just at the moment I'm struggling to think of any!",any,anecdotes,anecdotes,True
4,And that's where all the loose ends of the conventional novel start to come together; all the flaws of Never Let Me Go are material for a bigger metaphor than any that can be found solely in the weave of the novel.,any,metaphor,weave of the novel,False
5,"The Speaker must examine all motions relating to Lords amendments at each CCLA stage, and certify any that meet the two-part test.",any,motions,motions,True
6,"Saiyans seem to age more gracefully than humans and certainly look good, but it's unclear if there are any that are hundreds of years old.",any,Saiyans,Saiyans,True
7,"And when I was required to isolate Paramecium for a science project, and couldn't find any in our city ponds or lakes.",any,Paramecium,Paramecium,True
8,The hardware checks this table upon every access and blocks any that are illegal.,any,access,illegal,False
9,"The Engineering department is so overworked it's just laughable, and equipment is usually fixed by duct tape, if you can find any!",any,tape,Equipment,False
10,Please urge your elected representatives to cease sponsorship of such legislation and to oppose any that come before them.,any,legislation,Legislation,True
11,You can also purchase additional Scrolls for Diamonds if you need some!,some,Scrolls,Diamonds,False
12,Turns out the college didn't offer that degree until several years after Thompson claimed he earned his!,his,degree,Thompson's,False
13,"Their forebears had won the faith through brave missionaries, so had his!",his,forebears,The faith,False
14,"As the others have mentioned a Kong wobbler is a great device to stimulate them, my border collie loves his!",his,Kong wobbler,Border Collie,False
15,What a puny recognition was a simple ribbon for heroism such as his!,his,heroism,Heroism,True
16,"The American jurist Benjamin Cardozo defined it as follows: ""Justice, to which law in its making should conform, is a concept by far more subtle and indefinite than any that is wielded by mere obedience to a rule.",any,concept,Justice,False
17,"Yet peer-reviewed studies of whether weighted blankets in particular can lower anxiety in humans have yielded mixed results, Lilly points out, and she doesn't know of any that have examined them in dogs.",any,studies,studies,True
18,"While adventure tourism trips from Europe to Africa and South America is almost extinct, there are still some adventure travellers (but not many!) going to Asia, because Asia is generally considered to be a safer destination.",many,travellers,Adventure travellers,False
19,If you stumble upon a deal that has PMI insurance you may want to move on to a property that doesn't have any!,any,property,PMI insurance,False
20,"By blending these visions, WPI created a new approach to higher education unlike any that had come before–one that combined theory with practice.",any,approach,higher education,False
21,Ending these practices produced plant communities far different from any that have ever been seen in pre-Columbian times.,any,plant communities,pre-Columbian times,False
22,"When I came out of prison- for some one interfered, and paid that tax- I did not perceive that great changes had taken place on the common, such as he observed who went in a youth and emerged a tottering and gray-headed man; and yet a change had to my eyes come over the scene- the town, and State, and country- greater than any that mere time could effect.",any,change,Time,False
23,"It provides 44 recommendations to industry, federal, state, and local regulators and governments to reduce the likelihood of future leaks and minimize the impacts of any that occur.",any,leaks,future leaks,False
24,Look around in the car park for leaflets advertising forthcoming events and take any that look interesting. ,any,leaflets,leaflets,True
25,"As moving and apt an encapsulation of the free inquiry that lay at the heart of American higher education as any that 's ever been written, and one that as of today is under serious threat by the machination of the Trump administration. ",any,encapsulation,The sentence,False
26,"But the discovery of Tutankhamun's tomb unleashed a tidal wave of Egyptomania unlike any that had gone before, whipped up by photographs of the treasures making their way back to news desks.",any,tidal wave (of Egyptomania),Egyptomania,False
27,"Limbaugh shuddered melodramatically at a speech that could ""lead to racial strife unlike any that we who are alive today remember.""",any,racial strife,We,False
28,I've looked around for remnants of the coal mines but wasn't able to find any that were accessible.,any,remnants,remnants of the coal mines,False
29,"So, Merrick, Beverlie and the rest of you collectors of great songs - do you know any that sound like a match?",any,songs,collectors of great songs,False
30,"This concert was by far the most work, and with the largest team, of any that we've put on.",any,concert,previous concerts,False
31,"As far as I know, it's normal for closures to bind references to mutable variables - of the languages I'm familiar with, Scala and Javascript both do this, and I can't think of any that break the rule.",any,languages,Languages,True
32,"Such low cost imposes certain limitation, but other than mandatory coating I can't think of any that 'd mean anything important to me.",any,limitation,limitations,False
33,"Throughout my life, friends, this one little line has proven to be one of the most important lines of any that I know.",any,lines,lines,True
34,AI creates opportunities for brands and expectations from consumers that are unlike any that brands have previously experienced in the modern advertising age. ,any,expectations,previous,False
35,"In the twentieth century, BANA and/or its progenitors have made several fundamental changes to the Braille system, all of them more noticeable and far-reaching than any that we envision as a result of switching to a uniform Braille code. ",any,changes,Switching to a uniform Braille code,False
36,But in reality the challenges of engineering financial systems are quite different from any that engineering has previously addressed.,any,challenges,engineering challenges,False
37,"Alternatively, you can use an external comparison program, in which case you can also provide zero or more one per line indented entries (These arguments always follow any that are given in the [ENV] section's DIFF entry.)",any,arguments,DIFF entry,False
38,"In response to a question, Mr Prada noted that the IFRS Foundation's Trustees were appointed via a rigorous process, involving various layers of vetting and review, unlike any that he had experienced before joining the IFRSF.",any,process,IFRSF,False
39,"If a shorthand is specified as one of the CSS-wide keywords [css-values-3], it sets all of its sub-properties to that keyword, including any that are reset-only sub-properties.",any,sub-properties,sub-properties,True
40,"When multiple image objects are available, a user agent MAY use the value to decide which icon is most suitable for a display context (and ignore any that are inappropriate).",any,image objects (icon),inappropriate icons,False
41,"Saturation mutagenesis screens in multicellular organisms such as fruit flies, nematode worms and zebrafish, which produce all possible developmental mutations, have never found any that are beneficial.",any,mutations,beneficial mutations,False
42,"C also provides the methods defined for A and B objects, in addition to any that may be defined specifically for C objects.",any,methods,Methods defined for A and B objects,False
43,"He would feel how the peaches espaliered on the south wall held to their stalks, and carefully pick any that were ripe. ",any,peaches,ripe peaches,False
44,Health officials argued that the company should be ordered to destroy meat found to contain traces of the bacteria and take back any that had already been sold.,any,meat,meat,True
45,"Bush certainly put the best spin possible on the intelligence that he had that pointed in the direction that he wanted to go in, and downplayed any that didn't.",any,intelligence,intelligence,True
46,It is because such creatures act with a lucidity that is considered to exceed in an unimaginable degree any that we might summon that a single choice suffered to settle their eternal status.,any,lucidity,We,False
47,"There is in St. Paul's definite, soul-stirring assertion of the wrath of God and the reality of the judgment at hand, a truth more profound than any that underlies our somewhat enfeebled ideas of universal benevolence and the determined progress of the race.",any,truth,ideas,False
48,The CEO currently takes the lead in regulatory representation for the benefit of the members; the aim to ensure that regulation affecting microlight flying is reduced as much as possible and that any that remains is proportionate to the activity.,any,regulation,Regulation,True
49,"Please note: pile officials do not condone spontaneous gatherings, particularly any that may affect pile meltation.",any,spontaneous gatherings,gatherings,False
50,This is the chief reason why Professor James claims that the empirical attitude which Pragmatism takes up is more radical and at the same time less objectionable than any that Empiricism has hitherto assumed.,any,attitude,Empiricism,False
51,"Pragmatism which began as a method for 'making our ideas clear,' has ended by offering us a theory of knowledge which is more ambiguous than any that ever existed before, so ambiguous, indeed, that its founder has renounced it and changed the name of his own more intelligible and more practical method to Pragmaticism. ",any,theory of knowledge,Theories of knowledge,False
52,"There is recognition in the literature that of the large number of continuous queries issued by users, many are similar. ",many,queries,queries,True
