text_id,text,target,expected_answer,gpt_answer,correct
wsc-1,The city councilmen refused the demonstrators a permit because [target]  feared violence.,[target],THE CITY COUNCILMEN,THE CITY COUNCILMEN,True
wsc-2,The city councilmen refused the demonstrators a permit because [target]  advocated violence.,[target],THE DEMONSTRATORS,THE DEMONSTRATORS,True
wsc-3,The trophy doesn't fit into the brown suitcase because  [target]  is too large.,[target],THE TROPHY,THE TROPHY,True
wsc-4,The trophy doesn't fit into the brown suitcase because  [target]  is too small.,[target],THE SUITCASE,THE BROWN SUITCASE,False
wsc-5,Joan made sure to thank Susan for all the help  [target]  had recieved.,[target],JOAN,SUSAN,False
wsc-6,Joan made sure to thank Susan for all the help  [target]  had given.,[target],SUSAN,SUSAN,True
wsc-7,"Paul tried to call George on the phone, but  [target]  wasn't successful.",[target],PAUL,PAUL,True
wsc-8,"Paul tried to call George on the phone, but  [target]  wasn't available.",[target],GEORGE,GEORGE,True
wsc-9,"The lawyer asked the witness a question, but  [target]  was reluctant to repeat it.",[target],THE LAWYER,THE WITNESS,False
wsc-10,"The lawyer asked the witness a question, but  [target]  was reluctant to answer it.",[target],THE WITNESS,THE WITNESS,True
wsc-11,The delivery truck zoomed by the school bus because  [target]  was going so fast.,[target],THE DELIVERY TRUCK,THE DELIVERY TRUCK,True
wsc-12,The delivery truck zoomed by the school bus because  [target]  was going so slow.,[target],THE SCHOOL BUS,THE SCHOOL BUS,True
wsc-13,Frank felt vindicated when his longtime rival Bill revealed that  [target]  was the winner of the competition.,[target],FRANK,FRANK,True
wsc-14,Frank felt crushed when his longtime rival Bill revealed that  [target]  was the winner of the competition.,[target],BILL,THE COMPETITION WINNER,False
wsc-15,The man couldn't lift his son because  [target]  was so weak.,[target],THE MAN,HIS SON,False
wsc-16,The man couldn't lift his son because  [target]  was so heavy.,[target],THE SON,HIS SON,False
wsc-17,The large ball crashed right through the table because  [target]  was made of steel.,[target],THE LARGE BALL,THE TABLE,False
wsc-18,The large ball crashed right through the table because  [target]  was made of styrofoam.,[target],THE TABLE,THE TABLE,True
wsc-19,John couldn't see the stage with Billy in front of him because  [target]  is so short.,[target],JOHN,BILLY,False
wsc-20,John couldn't see the stage with Billy in front of him because  [target]  is so tall.,[target],BILLY,BILLY,True
wsc-21,Tom threw his schoolbag down to Ray after  [target]  reached the top of the stairs.,[target],TOM,RAY,False
wsc-22,Tom threw his schoolbag down to Ray after  [target]  reached the bottom of the stairs.,[target],RAY,TOM,False
wsc-23,"Although they ran at about the same speed, Sue beat Sally because  [target]  had such a good start.",[target],SUE,SUE,True
wsc-24,"Although they ran at about the same speed, Sue beat Sally because  [target]  had such a bad start.",[target],SALLY,SALLY,True
wsc-25,The sculpture rolled off the shelf because  [target]  wasn't anchored.,[target],THE SCULPTure,THE SCULPTure,True
wsc-26,The sculpture rolled off the shelf because  [target]  wasn't level.,[target],THE SHELF,THE SHELF,True
wsc-27,Sam's drawing was hung just above Tina's and  [target]  did look much better with another one below it.,[target],SAM'S DRAWING,SAM'S DRAWING,True
wsc-28,Sam's drawing was hung just above Tina's and  [target]  did look much better with another one above it.,[target],TINA'S DRAWING,SAM'S DRAWING,False
wsc-29,Anna did a lot better than her good friend Lucy on the test because  [target]  had studied so hard.,[target],ANNA,ANNA,True
wsc-30,Anna did a lot worse than her good friend Lucy on the test because  [target]  had studied so hard.,[target],LUCY,LUCY,True
wsc-31,The firemen arrived after the police because  [target]  were coming from so far away.,[target],THE FIREMEN,THE FIREMEN,True
wsc-32,The firemen arrived before the police because  [target]  were coming from so far away.,[target],THE POLICE,THE POLICE,True
wsc-33,Frank was upset with Tom because the toaster  [target]  had bought from him didn't work.,[target],FRANK,TOASTER,False
wsc-34,Frank was upset with Tom because the toaster  [target]  had sold him didn't work.,[target],TOM,TOASTER,False
wsc-35,Jim yelled at Kevin because  [target]  was so upset.,[target],JIM,KEVIN,False
wsc-36,Jim comforted Kevin because  [target]  was so upset.,[target],KEVIN,KEVIN,True
wsc-37,"The sack of potatoes had been placed above the bag of flour, so  [target]  had to be moved first.",[target],THE SACK OF POTATOES,THE SACK OF POTATOES,True
wsc-38,"The sack of potatoes had been placed below the bag of flour, so  [target]  had to be moved first.",[target],THE BAG OF FLOUR,THE SACK OF POTATOES,False
wsc-39,Pete envies Martin although  [target]  is very successful.,[target],PETE,MARTIN,False
wsc-40,Pete envies Martin because  [target]  is very successful.,[target],MARTIN,MARTIN,True
wsc-41,"The older students were bullying the younger ones, so we punished  [target] .",[target],THE OLDER STUDENTS,THE OLDER STUDENTS,True
wsc-42,"The older students were bullying the younger ones, so we rescued  [target] .",[target],THE YOUNGER STUDENTS,THE YOUNGER ONES,False
wsc-43,I poured water from the bottle into the cup until  [target]  was empty.,[target],THE BOTTLE,THE BOTTLE,True
wsc-44,I poured water from the bottle into the cup until  [target]  was full.,[target],THE CUP,THE CUP,True
wsc-45,Susan knows all about Ann's personal problems because  [target]  is nosy.,[target],SUSAN,SUSAN,True
wsc-46,Susan knows all about Ann's personal problems because  [target]  is indiscreet.,[target],ANN,SUSAN,False
wsc-47,Sid explained his theory to Mark but  [target]  couldn't convince him.,[target],SID,SID,True
wsc-48,Sid explained his theory to Mark but  [target]  couldn't understand him.,[target],MARK,MARK,True
wsc-49,"Susan knew that Ann's son had been in a car accident, so  [target]  told her about it.",[target],SUSAN,SUSAN,True
wsc-50,"Susan knew that Ann's son had been in a car accident, because  [target]  told her about it.",[target],ANN,ANN,True
wsc-51,"Joe's uncle can still beat him at tennis, even though  [target]  is 30 years younger.",[target],JOE,JOE,True
wsc-52,"Joe's uncle can still beat him at tennis, even though  [target]  is 30 years older.",[target],JOE'S UNCLE,JOE,False
wsc-53,The painting in Mark's living room shows an oak tree.  [target]  is to the right of the bookcase.,[target],THE PAINTING,THE PAINTING,True
wsc-54,The painting in Mark's living room shows an oak tree.  [target]  is to the right of a house.,[target],THE OAK TREE,THE OAK TREE,True
wsc-55,There is a gap in the wall. You can see the garden through  [target] .,[target],THE GAP,THE GAP,True
wsc-56,There is a gap in the wall. You can see the garden behind  [target] .,[target],THE WALL,THE WALL,True
wsc-57,The drain is clogged with hair.  [target]  has to be cleaned.,[target],THE DRAIN,THE DRAIN,True
wsc-58,The drain is clogged with hair.  [target]  has to be removed.,[target],THE HAIR,THE HAIR,True
wsc-59,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,  [target]  was short, so it worked out.",[target],THE MEETING,THE MEETING,True
wsc-60,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,  [target]  was delayed, so it worked out.",[target],THE TRAIN,THE TRAIN,True
wsc-61,"There is a pillar between me and the stage, and I can't see around  [target] .",[target],THE PILLAR,THE STAGE,False
wsc-62,"There is a pillar between me and the stage, and I can't see  [target] .",[target],THE STAGE,THE STAGE,True
wsc-63,"They broadcast an announcement, but a subway came into the station and I couldn't hear  [target] .",[target],THE ANNOUNCEMENT,THE ANNOUNCEMENT,True
wsc-64,"They broadcast an announcement, but a subway came into the station and I couldn't hear over  [target] .",[target],THE SUBWAY,THE SUBWAY,True
wsc-65,"In the middle of the outdoor concert, the rain started falling, but  [target]  continued until 10.",[target],THE CONCERT,THE CONCERT,True
wsc-66,"In the middle of the outdoor concert, the rain started falling, and  [target]  continued until 10.",[target],THE RAIN,THE RAIN,True
wsc-67,"I used an old rag to clean the knife, and then I put  [target]  in the trash.",[target],THE RAG,THE RAG,True
wsc-68,"I used an old rag to clean the knife, and then I put  [target]  in the drawer.",[target],THE KNIFE,THE KNIFE,True
wsc-69,"Ann asked Mary what time the library closes, because  [target]  had forgotten.",[target],ANN,ANN,True
wsc-70,"Ann asked Mary what time the library closes, but  [target]  had forgotten.",[target],MARY,MARY,True
wsc-71,I took the water bottle out of the backpack so that  [target]  would be handy.,[target],THE WATER BOTTLE,THE WATER BOTTLE,True
wsc-72,I took the water bottle out of the backpack so that  [target]  would be lighter.,[target],THE BACKPACK,THE BACKPACK,True
wsc-73,I couldn't put the pot on the shelf because  [target]  was too tall.,[target],THE POT,THE SHELF,False
wsc-74,I couldn't put the pot on the shelf because  [target]  was too high.,[target],THE SHELF,THE SHELF,True
wsc-75,I'm sure that my map will show this building;  [target]  is very good.,[target],THE MAP,THE BUILDING,False
wsc-76,I'm sure that my map will show this building;  [target]  is very famous.,[target],THE BUILDING,THE BUILDING,True
wsc-77,Bob paid for Charlie's college education.  [target]  is very generous.,[target],BOB,BOB,True
wsc-78,Bob paid for Charlie's college education.  [target]  is very grateful.,[target],CHARLIE,CHARLIE,True
wsc-79,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.  [target]  is very hurt.",[target],BOB,BOB,True
wsc-80,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.  [target]  is very ungrateful.",[target],CHARLIE,CHARLIE,True
wsc-81,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,  [target]  would have won.",[target],BOB,BOB,True
wsc-82,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,  [target]  would have lost.",[target],ADAM,BOB,False
