ID,text,parallelism,licensor,one-start character offset,one-end character offset,A,antecedent A-start character offset,antecedent A-end character offset,B,antecedent B-start character offset,antecedent B-end character offset,A-antecedent,B-antecedent,A-antecedent.1,B-antecedent.1,NPE-licensor category,URL,target,expected_answer_2afc,gpt_answer_2afc,correct_gpt_2afc,Gemma_LoRA_answer_2afc,correct_gemma_2afc,llama_answer_2afc,correct_llama_2afc,expected_answer_openended,gpt_answer_openended,correct_gpt_openended,recheck_gpt_openended,Gemma_LoRA_answer_openended,correct_gemma_openended,recheck_gemma_openended,llama_answer_openended,correct_llama_openended,recheck_llama_openended,is_parallel,clean_text,len_text,n_npes,npe_start,npe_end,TA,CF,n_TA,TA_start,TA_end,n_CF,CF_start,CF_end,dist_TA_ao,dist_CF_ao,is_TA_closer
1.0,"When I asked them for performance data in percentage of passenger miles traveled and cost including time per trip, they didn't have any! ",non-parallel,any,,,time, ,,data,,,0.0,1.0,local,non-local,det,https://ti.org/antiplanner/?p=13217,any,B,B,1.0,B,1.0,A,0.0,DATA,PERFORMANCE DATA,0.0,True,data,1.0,True,Performance data,0.0,True,non-parallel,"When I asked them for performance data in percentage of passenger miles traveled and cost including time per trip, they didn't have any! ",137,1,132,134,data,time,1,33,37,1,99,103,99,33,0
2.0,"Search engines do not place much ranking weight (or any!) on meta descriptions themselves, but they can entice people click on the link and go to your website, which in turn increases your click-through rate and contributes to better rankings.",Contrasting,any,,,ranking weight,,,Search engines,,,1.0,0.0,local,non-local,det,https://whc.ca/blog/beginners-guide-to-seo-5-on-page-seo-tips/,any,A,A,1.0,A,1.0,A,1.0,RANKING WEIGHT,RANKING WEIGHT,1.0,True,weight,0.0,True,Meta descriptions,0.0,False,parallel,"Search engines do not place much ranking weight (or any!) on meta descriptions themselves, but they can entice people click on the link and go to your website, which in turn increases your click-through rate and contributes to better rankings.",243,1,52,54,ranking weight,Search engines,1,32,46,0,0,13,20,52,1
3.0,"There must be loads of anecdotes from those days, but just at the moment I'm struggling to think of any!",Clausal or VP Coordination,any,,,days,,,anecdotes,,,0.0,1.0,local,non-local,det,http://www.c64.com/gt_display_interview.php?interview=17,any,B,B,1.0,B,1.0,A,0.0,ANECDOTES,ANECDOTES,1.0,True,anecdotes,1.0,True,anecdotes,1.0,True,parallel,"There must be loads of anecdotes from those days, but just at the moment I'm struggling to think of any!",104,1,100,102,anecdotes,days,1,22,31,1,43,47,78,57,0
4.0,And that's where all the loose ends of the conventional novel start to come together; all the flaws of Never Let Me Go are material for a bigger metaphor than any that can be found solely in the weave of the novel.,Subset,any,,,metaphor,,,material,,,1.0,0.0,local,non-local,det,http://www.qlrs.com/critique.asp?id=441,any,A,A,1.0,A,1.0,A,1.0,METAPHOR,THE WEAVE OF THE NOVEL,0.0,False,metaphor,1.0,True,weave of the novel,0.0,False,parallel,And that's where all the loose ends of the conventional novel start to come together; all the flaws of Never Let Me Go are material for a bigger metaphor than any that can be found solely in the weave of the novel.,214,1,159,161,metaphor,material,1,144,152,1,122,130,15,37,1
5.0,"The Speaker must examine all motions relating to Lords amendments at each CCLA stage, and certify any that meet the two-part test.",Clausal or VP Coordination,any,,,amendments,,, motions,,,0.0,1.0,local,non-local,det,http://evel.uk/how-does-evel-work/,any,B,B,1.0,A,0.0,A,0.0,MOTIONS,MOTIONS,1.0,True,motions,1.0,True,motions,1.0,True,parallel,"The Speaker must examine all motions relating to Lords amendments at each CCLA stage, and certify any that meet the two-part test.",130,1,98,100,motions,amendments,1,28,35,1,54,64,70,44,0
6.0,"Saiyans seem to age more gracefully than humans and certainly look good, but it's unclear if there are any that are hundreds of years old.",Clausal or VP Coordination,any,,,Saiyans ,,,humans,,,1.0,0.0,non-local,local,det,https://www.cbr.com/dragon-ball-namekians-better-than-saiyans/,any,A,A,1.0,A,1.0,A,1.0,SAIYANS,SAIYANS,1.0,True,Saiyans,1.0,True,Saiyans,1.0,True,parallel,"Saiyans seem to age more gracefully than humans and certainly look good, but it's unclear if there are any that are hundreds of years old.",138,1,103,105,Saiyans,humans,0,0,6,1,40,46,103,63,0
7.0,"And when I was required to isolate Paramecium for a science project, and couldn't find any in our city ponds or lakes.",non-parallel,any,,,project,,,Paramecium,,,0.0,1.0,local,non-local,det,http://imid.ltd/poetry.html,any,B,B,1.0,B,1.0,A,0.0,PARAMECIUM,PARAMECIUM,1.0,True,Paramecium,1.0,True,Paramecium,1.0,True,non-parallel,"And when I was required to isolate Paramecium for a science project, and couldn't find any in our city ponds or lakes.",118,1,87,89,Paramecium,project,1,34,44,1,59,66,53,28,0
8.0,The hardware checks this table upon every access and blocks any that are illegal.,Clausal or VP Coordination,any,,,table,,,access,, ,0.0,1.0,non-local,local,det,https://www.eou.edu/voice/2018/11/,any,B,A,0.0,B,1.0,A,0.0,ACCESS,ACCESSES,0.0,True,accesses,0.0,True,illegal,0.0,False,parallel,The hardware checks this table upon every access and blocks any that are illegal.,81,1,60,62,access,table,1,41,47,1,24,29,19,36,1
9.0,"The Engineering department is so overworked it's just laughable, and equipment is usually fixed by duct tape, if you can find any!",non-parallel,any,,,tape,,,equipment,,,1.0,0.0,local,non-local,det,http://www.pbm.com/~lindahl/pbm_list/descriptions/1198316416.31803.html,any,A,A,1.0,A,1.0,A,1.0,TAPE,DUCT TAPE,0.0,True,equipment,0.0,False,Equipment,0.0,False,non-parallel,"The Engineering department is so overworked it's just laughable, and equipment is usually fixed by duct tape, if you can find any!",130,1,126,128,tape,equipment,1,103,107,1,68,77,23,58,1
10.0,Please urge your elected representatives to cease sponsorship of such legislation and to oppose any that come before them.,non-parallel,any,,,sponsorship,,,legislation ,,,0.0,1.0,non-local,local,det,http://www.cnyc.com/,any,B,B,1.0,B,1.0,A,0.0,LEGISLATION,LEGISLATION,1.0,True,legislation,1.0,True,Legislation,1.0,True,non-parallel,Please urge your elected representatives to cease sponsorship of such legislation and to oppose any that come before them.,122,1,96,98,legislation,sponsorship,1,69,80,1,49,60,27,47,1
11.0,You can also purchase additional Scrolls for Diamonds if you need some!,non-parallel,some,,,Scrolls,,,Diamonds,,,1.0,0.0,non-local,local,det,https://www.f2p.com/forge-of-empires-archeology-event/,some,A,A,1.0,A,1.0,A,1.0,SCROLLS,SCROLLS,1.0,True,Scrolls,1.0,True,Diamonds,0.0,False,non-parallel,You can also purchase additional Scrolls for Diamonds if you need some!,71,1,66,69,Scrolls,Diamonds,1,32,39,1,44,52,34,22,0
12.0,Turns out the college didn't offer that degree until several years after Thompson claimed he earned his!,non-parallel,his,,,college,,,degree,,,0.0,1.0,non-local,local,det,http://www.tbsl.in/?p=1269,his,B,B,1.0,B,1.0,A,0.0,DEGREE,THOMPSON,0.0,False,degree,1.0,True,Thompson's,0.0,False,non-parallel,Turns out the college didn't offer that degree until several years after Thompson claimed he earned his!,104,1,100,102,degree,college,1,39,45,1,13,20,61,87,1
